"X","id","name","host_since","host_location","host_response_time","host_is_superhost","listing_count","neighbourhood","property_type","room_type","accommodates","bathrooms","bedrooms","amenities","price","cleaning_fee","minimum_nights","maximum_nights","number_of_reviews","review_scores_rating","reviews_per_month"
1,12147973,"Sunny Bungalow in the City","2015-04-15","Boston, Massachusetts, United States","N/A","f",1,"Roslindale","House","Entire home/apt",4,1.5,2,"{TV,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Laptop Friendly Workspace""}","$250.00","$35.00",2,1125,0,NA,NA
2,3075044,"Charming room in pet friendly apt","2012-06-07","Boston, Massachusetts, United States","within an hour","f",1,"Roslindale","Apartment","Private room",2,1,1,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,""Hair Dryer"",Iron}","$65.00","$10.00",2,15,36,94,1.3
3,6976,"Mexican Folk Art Haven in Boston","2009-05-11","Boston, Massachusetts, United States","within a few hours","t",1,"Roslindale","Apartment","Private room",2,1,1,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",Essentials,Shampoo,""Lock on Bedroom Door"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}","$65.00","",3,45,41,98,0.47
4,1436513,"Spacious Sunny Bedroom Suite in Historic Home","2013-04-21","Boston, Massachusetts, United States","within a few hours","f",1,"Roslindale","House","Private room",4,1,1,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Gym,Breakfast,""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}","$75.00","$50.00",1,1125,1,100,1
5,7651065,"Come Home to Boston","2014-05-11","Boston, Massachusetts, United States","within an hour","t",1,"Roslindale","House","Private room",2,1.5,1,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron}","$79.00","$15.00",2,31,29,99,2.25
6,12386020,"Private Bedroom + Great Coffee","2016-03-23","Boston, Massachusetts, United States","within a few hours","t",1,"Roslindale","Condominium","Private room",2,1,1,"{""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Hangers,Iron}","$75.00","$30.00",2,1125,8,100,1.7
7,5706985,"New Lrg Studio apt 15 min to Boston","2013-05-25","Milton, Massachusetts, United States","within an hour","f",3,"Roslindale","Apartment","Entire home/apt",3,1,1,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in""}","$100.00","",1,1125,57,90,4
8,2843445,"""Tranquility"" on ""Top of the Hill""","2012-08-05","Boston, Massachusetts, United States","within a few hours","t",2,"Roslindale","House","Private room",2,2,1,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",Breakfast,""Pets live on this property"",Dog(s),""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}","$75.00","$10.00",1,1125,67,96,2.38
9,753446,"6 miles away from downtown Boston!","2012-10-24","Boston, Massachusetts, United States","within an hour","t",1,"Roslindale","Condominium","Private room",2,1,1,"{""Wireless Internet"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Shampoo,Hangers,""Hair Dryer""}","$58.00","",2,1125,65,96,5.36
10,849408,"Perfect & Practical Boston Rental","2012-12-18","Boston, Massachusetts, United States","within an hour","t",2,"Roslindale","Apartment","Entire home/apt",5,1,2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}","$229.00","$50.00",4,10,33,94,1.01
